Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,18.7,65,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,19.7,67,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,18.5,64,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,15.7,59,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,15.3,58,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,17.5,62,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,16.8,61,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,16.5,60,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,17.4,62,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,19.3,66,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,20.4,68,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,17.8,63,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,17.0,61,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,12.8,52,Moderate,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,10.9,45,Good,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,12.4,52,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,15.2,58,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,14.6,56,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,15.3,58,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,21.1,70,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,22.5,73,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,18.2,64,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,19.6,67,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,18.3,64,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,15.6,58,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,13.8,55,Moderate,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,15.9,59,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,19.9,67,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,17.9,63,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,21.4,71,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,21.7,71,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,23.3,75,Moderate,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,25.1,78,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,33.5,96,Moderate,42.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,38.3,108,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,34.6,98,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,30.8,90,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,26.4,81,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,25.2,79,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,23.1,74,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,21.0,70,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,19.5,67,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 07:00 PM,2021,01,02,19,20.2,68,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 08:00 PM,2021,01,02,20,20.6,69,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 09:00 PM,2021,01,02,21,24.3,77,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 10:00 PM,2021,01,02,22,23.6,75,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-02 11:00 PM,2021,01,02,23,18.3,64,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 12:00 AM,2021,01,03,00,17.1,62,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 01:00 AM,2021,01,03,01,16.0,59,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 02:00 AM,2021,01,03,02,18.0,63,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 03:00 AM,2021,01,03,03,18.5,64,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 04:00 AM,2021,01,03,04,19.2,66,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 05:00 AM,2021,01,03,05,23.6,75,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 06:00 AM,2021,01,03,06,28.3,85,Moderate,33.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 07:00 AM,2021,01,03,07,37.1,105,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 08:00 AM,2021,01,03,08,43.5,121,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 09:00 AM,2021,01,03,09,42.2,117,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 10:00 AM,2021,01,03,10,37.6,106,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 11:00 AM,2021,01,03,11,36.8,104,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 12:00 PM,2021,01,03,12,34.9,99,Moderate,33.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 01:00 PM,2021,01,03,13,32.4,94,Moderate,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 02:00 PM,2021,01,03,14,33.2,95,Moderate,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 03:00 PM,2021,01,03,15,30.6,90,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 04:00 PM,2021,01,03,16,34.5,98,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 05:00 PM,2021,01,03,17,28.9,86,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 06:00 PM,2021,01,03,18,21.9,72,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 07:00 PM,2021,01,03,19,17.9,63,Moderate,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 08:00 PM,2021,01,03,20,21.9,72,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 09:00 PM,2021,01,03,21,26.4,81,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 10:00 PM,2021,01,03,22,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-03 11:00 PM,2021,01,03,23,25.3,79,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 12:00 AM,2021,01,04,00,30.6,90,Moderate,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 01:00 AM,2021,01,04,01,28.8,86,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 02:00 AM,2021,01,04,02,22.4,73,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 03:00 AM,2021,01,04,03,21.7,71,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 04:00 AM,2021,01,04,04,24.8,78,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 05:00 AM,2021,01,04,05,36.4,103,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 06:00 AM,2021,01,04,06,40.7,114,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 07:00 AM,2021,01,04,07,36.3,103,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 08:00 AM,2021,01,04,08,29.6,88,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 09:00 AM,2021,01,04,09,26.3,81,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 10:00 AM,2021,01,04,10,29.1,87,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 11:00 AM,2021,01,04,11,30.5,90,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 12:00 PM,2021,01,04,12,32.2,93,Moderate,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 01:00 PM,2021,01,04,13,27.1,83,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 02:00 PM,2021,01,04,14,27.0,82,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 03:00 PM,2021,01,04,15,22.0,72,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 04:00 PM,2021,01,04,16,17.5,62,Moderate,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 05:00 PM,2021,01,04,17,21.7,71,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 06:00 PM,2021,01,04,18,30.3,89,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 07:00 PM,2021,01,04,19,30.6,90,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 08:00 PM,2021,01,04,20,31.3,91,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 09:00 PM,2021,01,04,21,35.1,99,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 10:00 PM,2021,01,04,22,33.5,96,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-04 11:00 PM,2021,01,04,23,24.7,77,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 12:00 AM,2021,01,05,00,21.8,71,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 01:00 AM,2021,01,05,01,22.9,74,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 02:00 AM,2021,01,05,02,21.4,71,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 03:00 AM,2021,01,05,03,21.7,71,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 04:00 AM,2021,01,05,04,24.3,77,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 05:00 AM,2021,01,05,05,21.6,71,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 06:00 AM,2021,01,05,06,24.3,77,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 07:00 AM,2021,01,05,07,29.6,88,Moderate,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 08:00 AM,2021,01,05,08,24.8,78,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 09:00 AM,2021,01,05,09,28.4,85,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 10:00 AM,2021,01,05,10,27.7,84,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 11:00 AM,2021,01,05,11,25.9,80,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 12:00 PM,2021,01,05,12,23.7,75,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 01:00 PM,2021,01,05,13,26.1,80,Moderate,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 02:00 PM,2021,01,05,14,26.5,81,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 03:00 PM,2021,01,05,15,21.8,71,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 04:00 PM,2021,01,05,16,21.9,72,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 05:00 PM,2021,01,05,17,23.9,76,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 06:00 PM,2021,01,05,18,20.9,70,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 07:00 PM,2021,01,05,19,17.9,63,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 08:00 PM,2021,01,05,20,16.9,61,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 09:00 PM,2021,01,05,21,24.4,77,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 10:00 PM,2021,01,05,22,39.7,111,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-05 11:00 PM,2021,01,05,23,30.8,90,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 12:00 AM,2021,01,06,00,24.4,77,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 01:00 AM,2021,01,06,01,20.2,68,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 02:00 AM,2021,01,06,02,15.1,57,Moderate,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 03:00 AM,2021,01,06,03,13.0,53,Moderate,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 04:00 AM,2021,01,06,04,12.0,50,Good,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 05:00 AM,2021,01,06,05,10.5,44,Good,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 06:00 AM,2021,01,06,06,10.2,43,Good,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 07:00 AM,2021,01,06,07,17.1,62,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 08:00 AM,2021,01,06,08,17.0,61,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 09:00 AM,2021,01,06,09,19.0,66,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 10:00 AM,2021,01,06,10,17.0,61,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 11:00 AM,2021,01,06,11,19.0,66,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 12:00 PM,2021,01,06,12,18.0,63,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 01:00 PM,2021,01,06,13,19.0,66,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 02:00 PM,2021,01,06,14,21.0,70,Moderate,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 03:00 PM,2021,01,06,15,30.0,89,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 04:00 PM,2021,01,06,16,35.5,101,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 05:00 PM,2021,01,06,17,31.2,91,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 06:00 PM,2021,01,06,18,26.6,81,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 07:00 PM,2021,01,06,19,23.3,75,Moderate,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 08:00 PM,2021,01,06,20,21.1,70,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 09:00 PM,2021,01,06,21,20.0,68,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 10:00 PM,2021,01,06,22,29.0,87,Moderate,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-06 11:00 PM,2021,01,06,23,34.5,98,Moderate,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 12:00 AM,2021,01,07,00,37.2,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 01:00 AM,2021,01,07,01,36.1,102,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 02:00 AM,2021,01,07,02,32.0,93,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 03:00 AM,2021,01,07,03,30.0,89,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 04:00 AM,2021,01,07,04,24.5,77,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 05:00 AM,2021,01,07,05,25.2,79,Moderate,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 06:00 AM,2021,01,07,06,21.1,70,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 07:00 AM,2021,01,07,07,26.0,80,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 08:00 AM,2021,01,07,08,39.5,111,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 09:00 AM,2021,01,07,09,40.2,113,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 10:00 AM,2021,01,07,10,34.1,97,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 11:00 AM,2021,01,07,11,33.0,95,Moderate,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 12:00 PM,2021,01,07,12,35.0,99,Moderate,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 01:00 PM,2021,01,07,13,28.0,84,Moderate,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 02:00 PM,2021,01,07,14,23.0,74,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 03:00 PM,2021,01,07,15,20.5,69,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 04:00 PM,2021,01,07,16,19.7,67,Moderate,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 05:00 PM,2021,01,07,17,20.8,69,Moderate,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 06:00 PM,2021,01,07,18,17.9,63,Moderate,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 07:00 PM,2021,01,07,19,17.4,62,Moderate,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 08:00 PM,2021,01,07,20,16.7,61,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 09:00 PM,2021,01,07,21,16.3,60,Moderate,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 10:00 PM,2021,01,07,22,22.6,73,Moderate,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-07 11:00 PM,2021,01,07,23,25.3,79,Moderate,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 12:00 AM,2021,01,08,00,28.1,85,Moderate,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 01:00 AM,2021,01,08,01,27.5,83,Moderate,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 02:00 AM,2021,01,08,02,44.2,122,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 03:00 AM,2021,01,08,03,59.6,153,Unhealthy,75.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 04:00 AM,2021,01,08,04,64.3,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 05:00 AM,2021,01,08,05,59.1,153,Unhealthy,54.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 06:00 AM,2021,01,08,06,44.5,123,Unhealthy for Sensitive Groups,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 07:00 AM,2021,01,08,07,46.2,127,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 08:00 AM,2021,01,08,08,54.6,148,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 09:00 AM,2021,01,08,09,58.8,153,Unhealthy,63.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 10:00 AM,2021,01,08,10,57.4,152,Unhealthy,56.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 11:00 AM,2021,01,08,11,57.7,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2021-01-08 12:00 PM,2021,01,08,12,54.3,147,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
